ROI	f_fft	df_fft	f_ac	df_ac	PQ	FWHM	Q	PS	PSRQ	FA_pct	RepCV_fft	St_fft	St_fft_err	St_ac	St_ac_err	video	prefix	fan_speed	U	U_err	roi_x	roi_y	roi_w	roi_h
																								
Ambient																								
Speed 1																								
ROI 1 (0.5-1.0D, Narrow)	6.644	0.881	7.431	0.482	1.961	1.360	5.115	0.497	3.376	14.234	13.258	0.216	0.040	0.242	0.035	ambient 1.mp4	ambient	1	0.363	0.036	825.000	435.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	7.225	1.456	7.432	0.620	1.859	1.465	5.240	0.493	3.980	18.981	20.156	0.235	0.057	0.242	0.038	ambient 1.mp4	ambient	1	0.363	0.036	825.000	435.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	6.810	1.196	7.063	0.630	1.795	1.627	4.419	0.492	3.944	9.891	17.567	0.221	0.049	0.230	0.036	ambient 1.mp4	ambient	1	0.363	0.036	950.000	435.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	6.394	0.910	6.663	0.522	1.857	1.636	4.647	0.559	3.670	9.308	14.227	0.208	0.040	0.217	0.033	ambient 1.mp4	ambient	1	0.363	0.036	950.000	435.000	125.000	62.000
																								
Speed 2																								
ROI 1 (0.5-1.0D, Narrow)	7.156	1.116	7.661	0.416	1.722	1.392	5.525	0.523	4.433	10.920	15.589	0.229	0.045	0.245	0.032	ambient 2.mp4	ambient	2	0.369	0.031	825.000	435.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	7.317	1.315	7.717	0.506	1.852	1.360	6.180	0.522	4.255	10.433	17.973	0.234	0.050	0.246	0.034	ambient 2.mp4	ambient	2	0.369	0.031	825.000	435.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	6.915	1.116	7.210	1.208	1.900	1.078	6.342	0.414	3.585	13.443	16.133	0.221	0.044	0.230	0.047	ambient 2.mp4	ambient	2	0.369	0.031	950.000	435.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	6.995	0.925	7.326	1.053	1.584	1.378	5.457	0.409	3.871	7.960	13.231	0.223	0.040	0.234	0.044	ambient 2.mp4	ambient	2	0.369	0.031	950.000	435.000	125.000	62.000
																								
Speed 3																								
ROI 1 (0.5-1.0D, Narrow)	6.480	1.397	7.719	0.725	2.070	1.039	6.568	0.555	4.237	25.160	21.561	0.189	0.049	0.225	0.038	ambient 3.mp4	ambient	3	0.404	0.045	825.000	435.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	7.200	0.980	7.609	0.400	1.792	1.294	5.534	0.562	4.864	11.347	13.608	0.210	0.041	0.222	0.033	ambient 3.mp4	ambient	3	0.404	0.045	825.000	435.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	7.280	0.586	7.560	0.400	1.975	1.171	6.349	0.593	4.588	4.790	6.019	0.213	0.034	0.221	0.033	ambient 3.mp4	ambient	3	0.404	0.045	950.000	435.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	7.600	0.875	7.560	0.400	1.846	1.750	4.991	0.586	4.510	5.748	10.526	0.222	0.040	0.221	0.033	ambient 3.mp4	ambient	3	0.404	0.045	950.000	435.000	125.000	62.000
																								
Laser																								
Speed 1																								
ROI 1 (0.5-1.0D, Narrow)	7.072	0.464	7.147	0.327	2.323	0.928	8.085	0.815	3.788	4.569	5.279	0.230	0.034	0.232	0.032	laser 1.mp4	laser	1	0.363	0.036	900.000	415.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	6.810	0.502	7.190	0.327	2.381	1.004	7.633	0.745	3.991	5.628	4.022	0.221	0.033	0.234	0.032	laser 1.mp4	laser	1	0.363	0.036	900.000	415.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	6.745	0.417	7.117	0.377	2.430	0.833	8.278	0.666	3.929	5.748	5.535	0.219	0.032	0.231	0.033	laser 1.mp4	laser	1	0.363	0.036	1025.000	415.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	7.138	0.630	6.947	0.327	2.709	0.967	7.680	0.667	3.941	3.447	8.824	0.232	0.037	0.226	0.032	laser 1.mp4	laser	1	0.363	0.036	1025.000	415.000	125.000	62.000
																								
Speed 2																								
ROI 1 (0.5-1.0D, Narrow)	8.192	0.865	7.855	0.343	1.878	1.708	5.339	0.614	5.189	7.962	10.554	0.262	0.042	0.251	0.032	laser 2.mp4	laser	2	0.369	0.031	900.000	415.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	7.040	1.260	7.767	0.552	2.045	0.929	7.756	0.549	5.054	17.911	17.895	0.225	0.048	0.248	0.034	laser 2.mp4	laser	2	0.369	0.031	900.000	415.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	7.808	0.894	7.904	0.355	1.902	1.066	9.465	0.549	5.407	9.299	11.446	0.249	0.041	0.252	0.032	laser 2.mp4	laser	2	0.369	0.031	1025.000	415.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	8.064	0.673	7.803	0.320	2.126	1.345	7.940	0.543	4.953	6.775	8.133	0.258	0.037	0.249	0.031	laser 2.mp4	laser	2	0.369	0.031	1025.000	415.000	125.000	62.000
																								
Speed 3																								
ROI 1 (0.5-1.0D, Narrow)	7.869	1.352	7.772	0.546	1.847	1.555	5.933	0.566	4.723	9.239	17.180	0.230	0.051	0.227	0.036	laser 3.mp4	laser	3	0.404	0.045	900.000	415.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	8.197	1.372	7.594	0.665	2.164	1.003	8.651	0.554	4.247	9.108	16.733	0.239	0.052	0.222	0.037	laser 3.mp4	laser	3	0.404	0.045	900.000	415.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	8.984	0.639	8.584	0.363	2.430	1.278	9.071	0.653	4.271	4.608	4.161	0.262	0.041	0.251	0.037	laser 3.mp4	laser	3	0.404	0.045	1025.000	415.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	8.984	0.728	8.355	0.469	2.240	1.457	8.750	0.591	4.700	7.004	4.161	0.262	0.042	0.244	0.037	laser 3.mp4	laser	3	0.404	0.045	1025.000	415.000	125.000	62.000
																								
LED																								
Speed 1																								
ROI 1 (0.5-1.0D, Narrow)	6.868	0.855	7.075	0.390	1.807	1.608	4.338	0.592	4.490	6.598	12.448	0.223	0.040	0.230	0.033	led 1.mp4	led	1	0.363	0.036	825.000	435.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	6.868	0.855	6.990	0.390	1.804	1.505	4.616	0.618	4.655	6.143	12.448	0.223	0.040	0.227	0.032	led 1.mp4	led	1	0.363	0.036	825.000	435.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	6.946	0.932	6.868	0.390	1.848	1.416	5.122	0.653	5.419	7.670	13.413	0.226	0.042	0.223	0.032	led 1.mp4	led	1	0.363	0.036	950.000	435.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	6.712	0.822	6.909	0.390	1.748	1.645	4.694	0.676	5.689	6.466	11.915	0.218	0.039	0.225	0.032	led 1.mp4	led	1	0.363	0.036	950.000	435.000	125.000	62.000
																								
Speed 2																								
ROI 1 (0.5-1.0D, Narrow)	6.535	0.801	7.208	0.445	1.792	1.602	4.327	0.531	4.464	11.470	12.199	0.209	0.036	0.230	0.031	led 2.mp4	led	2	0.369	0.031	825.000	435.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	6.457	0.895	6.997	0.419	1.933	1.513	4.517	0.504	4.188	12.012	13.869	0.206	0.038	0.223	0.030	led 2.mp4	led	2	0.369	0.031	825.000	435.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	6.379	0.725	7.198	0.409	1.965	1.451	5.219	0.520	3.735	13.247	5.454	0.204	0.034	0.230	0.030	led 2.mp4	led	2	0.369	0.031	950.000	435.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	6.379	0.778	7.061	0.389	2.033	1.556	4.900	0.526	3.660	11.006	5.454	0.204	0.035	0.226	0.030	led 2.mp4	led	2	0.369	0.031	950.000	435.000	125.000	62.000
																								
Speed 3																								
ROI 1 (0.5-1.0D, Narrow)	7.192	0.687	7.609	0.418	1.890	1.265	6.206	0.451	3.672	8.092	9.553	0.210	0.036	0.222	0.033	led 3.mp4	led	3	0.404	0.045	825.000	435.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	7.108	0.724	7.474	0.439	1.999	1.298	6.007	0.467	3.599	7.315	10.189	0.208	0.036	0.218	0.033	led 3.mp4	led	3	0.404	0.045	825.000	435.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	7.610	0.906	7.457	0.665	1.796	1.341	7.305	0.495	4.507	8.594	11.912	0.222	0.041	0.218	0.036	led 3.mp4	led	3	0.404	0.045	950.000	435.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	7.610	0.838	7.309	0.568	1.764	1.677	5.731	0.484	4.489	8.522	9.028	0.222	0.040	0.213	0.034	led 3.mp4	led	3	0.404	0.045	950.000	435.000	125.000	62.000
																								
Triangle																								
Speed 1																								
ROI 1 (0.5-1.0D, Narrow)	6.848	1.355	7.106	0.510	1.571	1.498	4.890	0.515	4.385	16.157	19.791	0.223	0.053	0.231	0.035	triangle 1.mp4	triangle	1	0.363	0.036	825.000	580.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	7.787	0.869	7.515	0.372	2.101	0.902	9.444	0.536	4.313	6.110	11.157	0.253	0.044	0.244	0.034	triangle 1.mp4	triangle	1	0.363	0.036	825.000	580.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	7.519	1.567	7.637	0.615	1.726	1.385	5.749	0.492	3.514	12.516	20.844	0.244	0.060	0.248	0.038	triangle 1.mp4	triangle	1	0.363	0.036	950.000	580.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	7.317	1.490	7.453	0.643	1.739	1.498	5.332	0.521	4.187	11.019	20.360	0.238	0.058	0.242	0.038	triangle 1.mp4	triangle	1	0.363	0.036	950.000	580.000	125.000	62.000
																								
Speed 2																								
ROI 1 (0.5-1.0D, Narrow)	6.740	1.436	6.988	0.868	2.081	1.246	6.639	0.443	4.153	21.854	21.312	0.215	0.053	0.223	0.038	triangle 2.mp4	triangle	2	0.369	0.031	825.000	580.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	6.677	0.752	7.127	0.486	1.801	1.168	5.673	0.461	4.308	7.560	11.262	0.213	0.035	0.228	0.031	triangle 2.mp4	triangle	2	0.369	0.031	825.000	580.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	7.559	1.318	7.463	0.446	2.017	1.306	6.505	0.455	4.372	11.572	17.430	0.241	0.051	0.238	0.032	triangle 2.mp4	triangle	2	0.369	0.031	950.000	580.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	6.488	1.520	7.100	0.967	1.903	1.560	4.565	0.494	4.905	18.563	23.432	0.207	0.054	0.227	0.041	triangle 2.mp4	triangle	2	0.369	0.031	950.000	580.000	125.000	62.000
																								
Speed 3																								
ROI 1 (0.5-1.0D, Narrow)	6.997	0.997	7.466	0.350	1.769	1.684	4.850	0.481	4.500	10.273	14.250	0.204	0.041	0.218	0.032	triangle 3.mp4	triangle	3	0.404	0.045	825.000	580.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	7.063	1.049	7.374	0.333	1.647	1.513	6.321	0.486	4.566	9.710	14.858	0.206	0.042	0.215	0.032	triangle 3.mp4	triangle	3	0.404	0.045	825.000	580.000	125.000	62.000
ROI 3 (1.0-1.5D, Narrow)	6.736	1.436	7.224	0.612	2.301	1.011	7.293	0.500	3.962	13.180	21.326	0.197	0.050	0.211	0.035	triangle 3.mp4	triangle	3	0.404	0.045	950.000	580.000	62.000	62.000
ROI 4 (1.0-1.5D, Wide)	6.670	0.753	7.297	0.480	1.882	1.491	5.420	0.500	4.571	12.025	11.285	0.195	0.035	0.213	0.033	triangle 3.mp4	triangle	3	0.404	0.045	950.000	580.000	125.000	62.000
																								
Airfoil																								
Speed 1																								
ROI 1 (0.5-1.0D, Narrow)	7.029	0.853	7.815	0.463	1.902	1.318	7.353	0.524	4.472	12.372	12.141	0.229	0.041	0.254	0.037	airfoil 1.mp4	airfoil	1	0.363	0.036	825.000	580.000	62.000	62.000
ROI 2 (0.5-1.0D, Wide)	6.828	0.964	7.727	0.561	1.833	1.135	6.963	0.555	4.332	15.965	14.122	0.222	0.043	0.251	0.038	airfoil 1.mp4	airfoil	1	0.363	0.036	825.000	580.000	125.000	62.000
